iter	Logloss
0	0.689684696
1	0.686601222
2	0.6832351098
3	0.6803705246
4	0.6774267803
5	0.67538206
6	0.672506116
7	0.6696030007
8	0.6667474808
9	0.6641028468
10	0.661498342
11	0.6589432655
12	0.6572480115
13	0.6544853801
14	0.6528010183
15	0.650336155
16	0.6483301434
17	0.6466740724
18	0.6441213776
19	0.64136871
20	0.6386166481
21	0.6368156647
22	0.6346136129
23	0.6325027142
24	0.6306217636
25	0.6290646348
26	0.6270041961
27	0.6246485927
28	0.6227823462
29	0.6207663244
30	0.6185325386
31	0.6169645451
32	0.6149760814
33	0.6127585594
34	0.6108328386
35	0.6088797613
36	0.6067880723
37	0.604876847
38	0.6031913168
39	0.6013255048
40	0.5993441311
41	0.5972519986
42	0.5956666854
43	0.5942785727
44	0.5925800314
45	0.5908730758
46	0.5896619122
47	0.5880518085
48	0.586510664
49	0.5846660691
50	0.5831874567
51	0.5827323853
52	0.5810123482
53	0.5798885608
54	0.5781765404
55	0.5765503368
56	0.5749013323
57	0.5737929933
58	0.5721044578
59	0.5704347098
60	0.5689839198
61	0.5685862662
62	0.5668051622
63	0.5655394727
64	0.564037079
65	0.5633624665
66	0.5623103734
67	0.5611132931
68	0.5603021407
69	0.5589442532
70	0.5576819986
71	0.5565495101
72	0.5553236994
73	0.5543038888
74	0.5532072371
75	0.5521266016
76	0.5508760388
77	0.5493939386
78	0.5482841527
79	0.5472302849
80	0.5457208726
81	0.544397271
82	0.5433651587
83	0.5422081652
84	0.5411125935
85	0.5401075021
86	0.5390323875
87	0.537942276
88	0.536686171
89	0.5359299418
90	0.5348737218
91	0.5341823421
92	0.5330796092
93	0.5322637643
94	0.5316029574
95	0.5311543799
96	0.5301335992
97	0.5292985724
98	0.5288883801
99	0.5280296358
100	0.5274442014
101	0.5269280387
102	0.5257299312
103	0.5247257794
104	0.5238627165
105	0.5231756652
106	0.5222347944
107	0.5212411326
108	0.5202127188
109	0.5194728656
110	0.5184938508
111	0.5178520167
112	0.5169807864
113	0.5159439014
114	0.5150353445
115	0.5141707547
116	0.513771097
117	0.5130840482
118	0.5120644883
119	0.5110189812
120	0.5102758582
121	0.50907518
122	0.5085527123
123	0.5077814061
124	0.5070951274
125	0.5065501545
126	0.5058233794
127	0.5047077045
128	0.503818113
129	0.5031638371
130	0.5024209799
131	0.5016661739
132	0.5008417263
133	0.5000616994
134	0.4991378908
135	0.4981480474
136	0.4972287013
137	0.4961809382
138	0.4955877497
139	0.4947734208
140	0.4942069703
141	0.4935240679
142	0.4928935046
143	0.4924145455
144	0.4914951082
145	0.490694498
146	0.4900824713
147	0.4894958957
148	0.4888712182
149	0.4880729703
150	0.4874790898
151	0.4867005644
152	0.4862774602
153	0.4856943225
154	0.4849481233
155	0.4842332872
156	0.4836311673
157	0.4831490324
158	0.4824983181
159	0.4816781542
160	0.4808522022
161	0.480321843
162	0.4795609914
163	0.4787986019
164	0.4782055407
165	0.4776617002
166	0.4771809711
167	0.4766020724
168	0.4758743834
169	0.4752187307
170	0.4750398151
171	0.4741022007
172	0.4733044819
173	0.4725552266
174	0.4721422885
175	0.4717279246
176	0.4710391334
177	0.4706309933
178	0.4701153249
179	0.4696520086
180	0.4694130102
181	0.4690918934
182	0.4685809804
183	0.467943272
184	0.4676481583
185	0.4669946309
186	0.4665015753
187	0.4660364996
188	0.465612112
189	0.4652200292
190	0.4647438187
191	0.4642326973
192	0.4639371101
193	0.4632169984
194	0.4628691561
195	0.4624060181
196	0.4621337142
197	0.4617239749
198	0.4610935042
199	0.4605842351
200	0.4601353283
201	0.4596989565
202	0.4590687787
203	0.4584272408
204	0.4580655126
205	0.4575642498
206	0.4570581501
207	0.4565821168
208	0.4559257875
209	0.4555795484
210	0.4553802049
211	0.4548090854
212	0.4547255827
213	0.4545100428
214	0.4540850838
215	0.4537166353
216	0.4531622643
217	0.4526890531
218	0.4522595489
219	0.4519043087
220	0.451398319
221	0.4505105104
222	0.4501783928
223	0.4498816235
224	0.449445254
225	0.4490267203
226	0.4487381154
227	0.4484838572
228	0.4481307926
229	0.4477067216
230	0.4472885614
231	0.4468951315
232	0.4466508189
233	0.44625823
234	0.4459165689
235	0.4454752976
236	0.4450141825
237	0.444512585
238	0.4440810833
239	0.4437878236
240	0.4430927256
241	0.4427316669
242	0.4424914285
243	0.4420587346
244	0.4417514567
245	0.4414027247
246	0.4405776381
247	0.4400419487
248	0.4398062095
249	0.4393592214
250	0.4387053175
251	0.4380309868
252	0.4374228095
253	0.4370956452
254	0.4369014953
255	0.4365846262
256	0.4363047553
257	0.4358504496
258	0.4354577173
259	0.4351179735
260	0.4347432565
261	0.4342624822
262	0.4337229643
263	0.4333821883
264	0.4331381518
265	0.4326778299
266	0.4322719767
267	0.4318450948
268	0.4315209805
269	0.4310107024
270	0.4307437993
271	0.4302708806
272	0.42997285
273	0.4298199657
274	0.4293231934
275	0.4288396362
276	0.4286130624
277	0.428419361
278	0.4280499032
279	0.4278396676
280	0.4275391908
281	0.4272250065
282	0.426953485
283	0.4263911265
284	0.4260291114
285	0.425605961
286	0.4251742721
287	0.424890527
288	0.4246297981
289	0.4242340265
290	0.4239521335
291	0.4236456142
292	0.4230797759
293	0.4227050177
294	0.4223079996
295	0.4217823656
296	0.4214854723
297	0.4211925572
298	0.4208006112
299	0.4204217545
300	0.4200117894
301	0.4197748006
302	0.419334245
303	0.4190777109
304	0.4186633639
305	0.4181730561
306	0.4178194181
307	0.4174033626
308	0.4171402356
309	0.4166474111
310	0.4163053652
311	0.4161112992
312	0.4158031681
313	0.41551823
314	0.4151513498
315	0.4147998838
316	0.4142374354
317	0.4137358439
318	0.4133174875
319	0.4128877379
320	0.4125830285
321	0.4122541821
322	0.4119184715
323	0.4114270578
324	0.411066448
325	0.4104593734
326	0.4099842701
327	0.4096291787
328	0.4090658465
329	0.4087062169
330	0.4085925201
331	0.4084611262
332	0.408186103
333	0.4078155911
334	0.4075747114
335	0.4071061101
336	0.4067951206
337	0.4065897125
338	0.4061441876
339	0.4059033364
340	0.4054802589
341	0.4051888886
342	0.4048306867
343	0.4042760576
344	0.4039800985
345	0.4036659922
346	0.4033639518
347	0.4031249667
348	0.4027149803
349	0.4023400885
350	0.4020456436
351	0.4018889009
352	0.401526649
353	0.4013163543
354	0.4012122987
355	0.400696342
356	0.4004365099
357	0.3999676315
358	0.3996626231
359	0.3992707545
360	0.3989722305
361	0.3986086648
362	0.3984391085
363	0.3982270041
364	0.3977477243
365	0.3973943865
366	0.3969061667
367	0.3965944374
368	0.3964136834
369	0.3961168398
370	0.3958829308
371	0.395532701
372	0.3953113557
373	0.3950065084
374	0.3949978016
375	0.3944479915
376	0.3940846966
377	0.3938074507
378	0.3935458049
379	0.3931318069
380	0.3929622925
381	0.3927474546
382	0.3925847306
383	0.3921889649
384	0.3920484494
385	0.3917402903
386	0.391535569
387	0.3912942036
388	0.3909068243
389	0.3906462532
390	0.390464969
391	0.3902192778
392	0.390043844
393	0.389627231
394	0.3890081966
395	0.3887564876
396	0.3882711828
397	0.3879718352
398	0.3877363695
399	0.3874710511
400	0.3871601622
401	0.3870152964
402	0.3867207903
403	0.3864106054
404	0.3860755649
405	0.3857138546
406	0.3854067804
407	0.3852115065
408	0.384929658
409	0.3846095661
410	0.3843841885
411	0.3841205809
412	0.3838597553
413	0.3836835643
414	0.3834570735
415	0.383187602
416	0.382958316
417	0.3826179705
418	0.382393805
419	0.3820720449
420	0.381899143
421	0.3817271291
422	0.3814385252
423	0.3811616803
424	0.3807882774
425	0.3804666976
426	0.3803021344
427	0.3799726299
428	0.3796621177
429	0.3794517685
430	0.3792384272
431	0.3788826822
432	0.3786050605
433	0.3784993681
434	0.3782933564
435	0.3779813028
436	0.3776633257
437	0.3774881178
438	0.3771593006
439	0.3770005206
440	0.3769783262
441	0.3766904926
442	0.3764096128
443	0.3761384785
444	0.3758141024
445	0.3755832572
446	0.3752917158
447	0.3749893159
448	0.3746434939
449	0.3743465968
450	0.3741974001
451	0.3736786975
452	0.3734567438
453	0.3732960644
454	0.3731659325
455	0.3728941857
456	0.3726651962
457	0.3723001997
458	0.3718239833
459	0.3715012336
460	0.3710185469
461	0.3707158803
462	0.3704512817
463	0.370122024
464	0.3697967992
465	0.3695396796
466	0.3692678748
467	0.3691108287
468	0.368866676
469	0.3686244671
470	0.3683343002
471	0.3682135001
472	0.3679282146
473	0.367557057
474	0.367363995
475	0.3672129942
476	0.3668572783
477	0.3663505389
478	0.366197095
479	0.3659010799
480	0.3655732845
481	0.3652933265
482	0.365029154
483	0.3647544369
484	0.3644657705
485	0.3641361411
486	0.363878235
487	0.3636856412
488	0.3632330792
489	0.363051802
490	0.3627639401
491	0.3624906752
492	0.3620685982
493	0.3618966394
494	0.3617329271
495	0.3616556223
496	0.361243734
497	0.3610946324
498	0.360839465
499	0.3605824897
500	0.3602955754
501	0.35990818
502	0.3596559753
503	0.3592999401
504	0.3589975406
505	0.358639444
506	0.3582349473
507	0.3580991217
508	0.3578526214
509	0.3573854063
510	0.357201324
511	0.3569492139
512	0.3568541299
513	0.3566326133
514	0.3563170377
515	0.3561950057
516	0.3559565165
517	0.3557711154
518	0.3554041653
519	0.3550426548
520	0.3548181324
521	0.3546183631
522	0.3544827116
523	0.3543800954
524	0.3542480159
525	0.353880351
526	0.3535149746
527	0.3533012937
528	0.353192683
529	0.3529353319
530	0.3527556179
531	0.3525871019
532	0.3524753593
533	0.3523492501
534	0.3521491595
535	0.351940662
536	0.3516389455
537	0.3513989143
538	0.3512209828
539	0.3509874329
540	0.3507123595
541	0.3505797355
542	0.3503239911
543	0.3501498356
544	0.3500280852
545	0.3498691239
546	0.349562982
547	0.3493117912
548	0.349094277
549	0.3489583289
550	0.3488346523
551	0.3487145708
552	0.3484078892
553	0.348012735
554	0.3478691014
555	0.3474799372
556	0.3473544212
557	0.3471200373
558	0.3467945429
559	0.346587431
560	0.3463353961
561	0.3459769562
562	0.3457581798
563	0.3454272609
564	0.3451768621
565	0.3448427265
566	0.3447055098
567	0.3444905789
568	0.3443408081
569	0.3441251005
570	0.344005653
571	0.3437966429
572	0.3435581248
573	0.3432467337
574	0.3430424207
575	0.3426464475
576	0.3424820963
577	0.3423022461
578	0.3421144616
579	0.3417380473
580	0.3414630768
581	0.3411323642
582	0.3409075138
583	0.3406491689
584	0.3403380174
585	0.3399949507
586	0.339776468
587	0.3394727618
588	0.3393258956
589	0.3391577538
590	0.3390040538
591	0.33880467
592	0.3386533355
593	0.3383278149
594	0.3379618236
595	0.3377006854
596	0.337487335
597	0.3372210393
598	0.3369868861
599	0.3367741702
600	0.3366657837
601	0.3364605035
602	0.3361906921
603	0.3360002121
604	0.3356793753
605	0.3354578837
606	0.3353043797
607	0.3351528428
608	0.3350501949
609	0.3349495317
610	0.3346492158
611	0.3344969796
612	0.3342016936
613	0.3339676068
614	0.3337022924
615	0.3334177473
616	0.3332288083
617	0.3329474024
618	0.332554243
619	0.3323144002
620	0.3322245107
621	0.332012395
622	0.331888097
623	0.3314969363
624	0.3313396275
625	0.3313312634
626	0.331084246
627	0.3309705067
628	0.330786956
629	0.3304835675
630	0.3303602108
631	0.3299961472
632	0.329664556
633	0.3294188317
634	0.3291327304
635	0.3289103442
636	0.3286721451
637	0.3285620457
638	0.3283377868
639	0.3281482501
640	0.327895668
641	0.3275310639
642	0.3273707463
643	0.327248037
644	0.3270939037
645	0.3269194887
646	0.3267280678
647	0.3264708727
648	0.3262840975
649	0.3261017819
650	0.3258947158
651	0.3256670648
652	0.3254982561
653	0.325249531
654	0.3250124855
655	0.3248187794
656	0.3246934882
657	0.3244906347
658	0.3242359427
659	0.324132717
660	0.3239941765
661	0.3238876977
662	0.3236249793
663	0.3234178661
664	0.323272745
665	0.323111891
666	0.3228333162
667	0.3227184352
668	0.322415774
669	0.3221661175
670	0.322038481
671	0.3219082333
672	0.3216973766
673	0.3214222096
674	0.3211993094
675	0.3210241749
676	0.3207681533
677	0.3205520305
678	0.3204052957
679	0.3202838745
680	0.3201338305
681	0.3199691655
682	0.3197254601
683	0.3194703734
684	0.3192707953
685	0.3191589247
686	0.3189047227
687	0.3188064986
688	0.3186309369
689	0.3184687498
690	0.3183223228
691	0.3180978307
692	0.3180005589
693	0.3178674812
694	0.3177218427
695	0.317626205
696	0.3173126262
697	0.3171587713
698	0.3169656837
699	0.3167501888
700	0.3166460383
701	0.3164919995
702	0.3162791467
703	0.3160736911
704	0.3159013289
705	0.3157029975
706	0.3155667529
707	0.3153895968
708	0.3151881965
709	0.3149701512
710	0.3146619515
711	0.3144564109
712	0.3142291153
713	0.3140881333
714	0.3139341571
715	0.3135662359
716	0.3134106141
717	0.3131984616
718	0.3128728084
719	0.3127887823
720	0.3126201894
721	0.3125770628
722	0.3121871628
723	0.3118366335
724	0.3116185964
725	0.3114435228
726	0.3111750406
727	0.3109704323
728	0.3105952225
729	0.3102836385
730	0.3100325878
731	0.3097942908
732	0.3096458124
733	0.3093195314
734	0.3090864799
735	0.3090003242
736	0.3088533109
737	0.3087599577
738	0.3085347877
739	0.3084700012
740	0.3082297463
741	0.3080178015
742	0.3076933192
743	0.3074956172
744	0.3073760499
745	0.3072123999
746	0.3069662289
