iter	Passed	Remaining
0	96	96562
1	99	49572
2	101	33661
3	104	26012
4	106	21276
5	109	18071
6	110	15696
7	112	13906
8	113	12535
9	115	11463
10	117	10596
11	119	9877
12	120	9164
13	121	8580
14	122	8045
15	123	7608
16	124	7213
17	125	6863
18	126	6552
19	127	6269
20	129	6014
21	130	5782
22	131	5569
23	132	5395
24	136	5329
25	137	5148
26	138	4990
27	139	4840
28	140	4705
29	141	4578
30	142	4456
31	143	4344
32	144	4238
33	145	4138
34	146	4041
35	147	3950
36	148	3863
37	149	3797
38	151	3741
39	153	3686
40	154	3624
41	155	3555
42	156	3488
43	157	3426
44	158	3368
45	159	3309
46	160	3257
47	161	3206
48	162	3156
49	163	3108
50	165	3075
51	166	3030
52	168	3008
53	169	2968
54	170	2927
55	171	2887
56	172	2850
57	173	2811
58	174	2776
59	175	2742
60	176	2711
61	176	2671
62	177	2641
63	178	2610
64	183	2639
65	184	2611
66	185	2584
67	186	2557
68	187	2525
69	188	2500
70	189	2474
71	190	2449
72	191	2426
73	192	2402
74	193	2382
75	194	2359
76	200	2403
77	202	2389
78	203	2371
79	204	2353
80	206	2339
81	207	2322
82	208	2302
83	209	2282
84	210	2261
85	212	2255
86	214	2250
87	215	2233
88	216	2215
89	217	2198
90	218	2180
91	219	2164
92	220	2146
93	221	2136
94	222	2119
95	223	2100
96	223	2085
97	224	2070
98	225	2052
99	229	2062
100	230	2047
101	230	2030
102	231	2016
103	232	2001
104	233	1988
105	234	1975
106	235	1962
107	236	1949
108	236	1937
109	237	1925
110	238	1913
111	239	1899
112	240	1888
113	241	1876
114	243	1870
115	244	1866
116	246	1859
117	247	1849
118	248	1838
119	249	1828
120	250	1818
121	251	1808
122	252	1797
123	253	1788
124	253	1777
125	254	1767
126	255	1757
127	256	1749
128	258	1743
129	262	1757
130	263	1748
131	264	1740
132	265	1731
133	266	1723
134	267	1714
135	268	1706
136	269	1698
137	270	1690
138	271	1682
139	272	1675
140	276	1683
141	278	1680
142	279	1673
143	280	1666
144	281	1658
145	282	1651
146	283	1644
147	285	1642
148	286	1638
149	288	1635
150	290	1635
151	292	1631
152	294	1627
153	295	1624
154	297	1620
155	299	1618
156	300	1614
157	302	1612
158	303	1606
159	308	1621
160	310	1619
161	312	1615
162	313	1611
163	315	1608
164	317	1606
165	318	1601
166	321	1602
167	326	1615
168	328	1613
169	330	1612
170	330	1604
171	332	1598
172	333	1593
173	334	1587
174	335	1582
175	339	1588
176	341	1586
177	342	1580
178	343	1575
179	344	1570
180	345	1562
181	346	1557
182	347	1551
183	348	1547
184	350	1542
185	351	1537
186	355	1543
187	356	1541
188	358	1536
189	359	1531
190	360	1526
191	361	1521
192	362	1514
193	363	1509
194	364	1504
195	365	1499
196	366	1495
197	369	1497
